SEASON,TEAM,GP,PTS,PPG,SNP%,OPP,ATT,YDS,Y/A,LNG,TD,FUM,TGT,REC,CTCH%,YDS,Y/C,LNG,TD
2015,DET,16,117,7.3,33%,181,143,597,4.2,36,2,6,38,25,66%,183,7.3,36,1
2016,DET,2,26.8,13.4,5%,23,18,101,5.6,24,0,0,5,5,100%,57,11.4,18,1
2017,DET,14,124.4,8.9,36%,200,165,552,3.3,34,4,2,35,25,71%,162,6.5,22,1
2018,MIN,10,3.9,0.4,2%,5,1,1,1,1,0,1,4,3,75%,28,9.3,12,0
2019,MIN,16,39.3,2.5,13%,44,23,115,5,15,0,1,21,15,71%,88,5.9,16,1
2020,MIN,16,30,1.9,7%,17,8,42,5.2,13,0,0,9,8,89%,58,7.2,22,2
2021,CAR,17,89.5,5.3,27%,104,51,166,3.3,15,0,0,53,38,72%,289,7.6,23,1
2022,LV,17,54.1,3.2,16%,36,4,20,5,7,0,2,32,25,78%,211,8.4,23,1
2020,MIA,6,69,11.5,26%,89,75,319,4.3,31,3,0,14,11,79%,61,5.5,13,0
2021,MIA,12,38.6,3.2,15%,73,54,149,2.8,16,0,0,19,12,63%,117,9.8,18,0
2022,MIA,12,14.2,1.2,3%,13,12,64,5.3,11,1,0,1,1,100%,8,8,8,0
2020,LAR,13,101.8,7.8,27%,159,145,625,4.3,61,2,1,14,11,79%,123,11.2,38,1
2021,LAR,1,4.3,4.3,7%,8,5,3,0.6,2,0,0,3,3,100%,10,3.3,6,0
2022,LAR,15,141.3,9.4,42%,206,188,786,4.2,42,7,2,18,13,72%,117,9,18,0
2022,ATL,16,159.4,10,47%,227,210,1035,4.9,44,3,0,17,16,94%,139,8.7,26,1
2017,CAR,9,0,0,5%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2018,CAR,16,15,0.9,11%,10,9,15,1.7,4,2,0,1,1,100%,5,5,5,0
2019,CAR,16,9.7,0.6,12%,8,6,11,1.8,4,1,0,2,2,100%,6,3,4,0
2020,CAR,16,7.7,0.5,14%,15,6,9,1.5,3,0,0,9,5,56%,18,3.6,14,0
2021,WAS,11,9.2,0.8,9%,6,5,21,4.2,9,0,0,1,1,100%,1,1,1,1
2022,WAS,3,0,0,2%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2022,DEN,1,9.4,9.4,7%,2,1,0,0,0,0,0,1,1,100%,24,24,24,1
2020,MIN,1,0,0,11%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2021,MIN,1,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2018,NYG,16,385.8,24.1,83%,382,261,1307,5,78,11,0,121,91,75%,721,7.9,57,4
2019,NYG,13,244.1,18.8,68%,290,217,1003,4.6,68,6,1,73,52,71%,438,8.4,65,2
2020,NYG,2,15.4,7.7,50%,28,19,34,1.8,18,0,0,9,6,67%,60,10,38,0
2021,NYG,13,148.6,11.4,47%,219,162,593,3.7,41,2,2,57,41,72%,263,6.4,54,2
2022,NYG,16,284,17.8,75%,371,295,1312,4.4,68,10,1,76,57,75%,338,5.9,41,0
2020,ARI,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,ARI,9,28,3.1,8%,41,34,118,3.5,21,1,0,7,6,86%,42,7,12,0
2022,NO,15,89.6,6,28%,111,77,313,4.1,45,2,1,34,25,74%,193,7.7,22,0
2022,CAR,13,43,3.3,9%,35,23,77,3.3,16,3,1,12,10,83%,93,9.3,27,0
2012,NE,10,42.5,4.3,10%,58,56,274,4.9,27,2,0,2,2,100%,11,5.5,11,0
2013,NE,12,81.3,6.8,22%,84,55,271,4.9,46,3,0,29,21,72%,152,7.2,18,0
2014,NE,16,17.7,1.1,6%,34,28,89,3.2,17,1,0,6,2,33%,8,4,4,0
2015,NE,15,69.7,4.6,17%,93,63,207,3.3,14,0,0,30,19,63%,180,9.5,63,2
2016,NE,14,3.9,0.3,1%,5,1,4,4,4,0,0,4,2,50%,15,7.5,13,0
2017,NE,16,8.4,0.5,4%,17,13,67,5.2,20,0,0,4,1,25%,7,7,7,0
2018,MIA,16,29.4,1.8,3%,11,8,91,11.4,54,2,1,3,3,100%,13,4.3,9,1
2019,NE,15,50.9,3.4,8%,26,15,68,4.5,21,3,0,11,9,82%,111,12.3,29,1
2020,NE,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,NE,17,124.1,7.3,31%,93,44,226,5.1,24,1,1,49,41,84%,405,9.9,28,2
2022,LV,16,27.3,1.7,7%,26,17,66,3.9,12,0,0,9,9,100%,57,6.3,18,1
2018,MIN,8,6.8,0.8,4%,14,11,47,4.3,20,0,0,3,2,67%,1,0.5,1,0
2019,MIN,16,50,3.1,8%,53,49,273,5.6,59,3,0,4,3,75%,17,5.7,7,0
2020,MIN,16,14.9,0.9,3%,13,11,59,5.4,19,1,0,2,2,100%,10,5,6,0
2021,DEN,8,7.7,1,3%,6,4,35,8.8,16,0,0,2,2,100%,22,11,19,0
2022,DEN,9,28.8,3.2,21%,39,24,102,4.2,18,0,0,15,9,60%,96,10.7,34,0
2017,SF,16,103.5,6.5,28%,141,105,465,4.4,33,2,1,36,21,58%,180,8.6,32,1
2018,SF,14,162.5,11.6,35%,184,153,814,5.3,66,3,1,31,27,87%,261,9.7,26,2
2019,SF,13,103.3,7.9,24%,145,123,623,5.1,83,1,2,22,19,86%,120,6.3,17,1
2020,MIA,12,42,3.5,14%,69,59,254,4.3,24,0,2,10,9,90%,96,10.7,31,0
2021,BUF,9,42.7,4.7,7%,35,26,125,4.8,28,1,1,9,7,78%,72,10.3,23,2
2022,NYG,17,59.8,3.5,23%,79,54,220,4.1,18,1,0,25,20,80%,118,5.9,16,0
2021,NYG,13,2,0.2,1%,2,1,4,4,4,0,0,1,1,100%,6,6,6,0
2022,NYG,17,29,1.7,8%,39,31,141,4.5,25,1,1,8,5,63%,39,7.8,12,0
2022,LV,6,0,0,0%,0,0,0,NaN,0,0,0,0,0,0%,0,NaN,0,0
2021,CAR,1,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2022,CAR,2,7.3,3.6,24%,13,9,43,4.8,7,0,0,4,2,50%,10,5,9,0
2021,NYJ,14,154.4,11,49%,202,147,639,4.3,55,4,1,55,36,65%,325,9,23,0
2022,NYJ,16,126,7.9,45%,168,114,402,3.5,25,3,2,54,41,76%,288,7,37,0
2022,MIN,3,2,0.7,3%,6,6,20,3.3,10,0,0,0,0,0%,0,NaN,0,0
2022,TEN,6,8.3,1.4,5%,12,9,12,1.3,5,0,0,3,3,100%,41,13.7,33,0
2018,CLE,16,194.5,12.2,36%,221,192,996,5.2,92,8,0,29,20,69%,149,7.4,24,2
2019,CLE,16,255.2,15.9,68%,347,298,1494,5,88,8,3,49,36,73%,278,7.7,32,0
2020,CLE,12,207.7,17.3,49%,208,190,1067,5.6,59,12,1,18,16,89%,150,9.4,26,0
2021,CLE,14,215.3,15.4,44%,253,228,1259,5.5,70,8,2,25,20,80%,174,8.7,40,1
2022,CLE,17,281.4,16.6,56%,339,302,1525,5,41,12,1,37,27,73%,239,8.9,26,1
2017,PHI,16,92.4,5.8,23%,89,74,321,4.3,28,4,0,15,10,67%,123,12.3,28,2
2018,PHI,11,81.1,7.4,30%,93,68,259,3.8,32,2,4,25,22,88%,192,8.7,23,0
2019,PHI,4,-4,0,1%,0,0,0,0,0,0,2,0,0,0%,0,0,0,0
2020,PHI,15,21,1.4,10%,27,21,75,3.6,7,1,0,6,5,83%,25,5,12,0
2021,DAL,17,28.9,1.7,6%,40,33,140,4.2,38,0,0,7,6,86%,29,4.8,8,1
2022,ARI,9,21.9,2.4,12%,22,15,55,3.7,12,1,0,7,5,71%,54,10.8,21,0
2017,PIT,14,14.4,1,7%,33,32,144,4.5,23,0,0,1,0,0%,0,0,0,0
2018,PIT,13,280,21.5,65%,286,215,973,4.5,30,12,4,71,55,77%,497,9,29,1
2019,PIT,10,145.5,14.6,33%,154,116,464,4,25,4,1,38,34,89%,251,7.4,26,3
2020,PIT,13,164.6,12.7,51%,212,169,721,4.3,59,6,2,43,35,81%,215,6.1,18,0
2021,ARI,15,257.7,17.2,51%,241,202,752,3.7,35,15,2,39,37,95%,375,10.1,45,3
2022,ARI,13,200.2,15.4,55%,241,183,782,4.3,23,7,3,58,46,79%,300,6.5,22,1
2022,JAX,8,10.2,1.3,3%,12,12,42,3.5,8,1,0,0,0,0%,0,NaN,0,0
2022,BUF,16,105.7,6.6,25%,121,89,507,5.7,33,2,1,32,21,66%,180,8.6,41,1
2021,DEN,12,0.7,0.1,1%,3,3,7,2.3,6,0,0,0,0,0%,0,NaN,0,0
2020,SEA,12,56.9,4.7,14%,54,34,108,3.2,13,2,0,20,17,85%,111,6.5,13,1
2021,SEA,17,60.1,3.5,16%,56,33,138,4.2,15,2,1,23,21,91%,133,6.3,29,0
2022,SEA,15,46.2,3.1,18%,54,35,186,5.3,27,0,1,19,17,89%,126,7.4,41,0
2022,DAL,12,34.4,2.9,9%,45,38,161,4.2,23,1,0,7,6,86%,63,10.5,18,0
2022,SF,6,9.9,1.7,6%,36,34,99,2.9,20,0,0,2,0,0%,0,NaN,0,0
2020,GB,11,40.3,3.7,10%,48,46,242,5.3,30,2,0,2,2,100%,21,10.5,16,0
2021,GB,17,185.6,10.9,43%,224,187,803,4.3,36,5,2,37,34,92%,313,9.2,50,2
2022,GB,17,167.6,9.9,49%,229,186,770,4.1,27,7,1,43,28,65%,206,7.4,17,0
2021,MIA,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,BAL,15,168.5,11.2,44%,158,134,805,6,72,9,2,24,18,75%,120,6.7,19,0
2022,BAL,8,81.2,10.2,30%,100,92,520,5.7,44,2,0,8,7,88%,42,6,20,1
2020,DAL,15,2.4,0.2,1%,7,7,24,3.4,7,0,0,0,0,0%,0,0,0,0
2022,DAL,5,0,0,2%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2016,MIA,16,43.5,2.7,11%,43,33,179,5.4,45,2,1,10,9,90%,46,5.1,9,0
2017,MIA,16,142.3,8.9,46%,181,133,644,4.8,66,3,2,48,32,67%,239,7.5,47,1
2018,MIA,16,206.2,12.9,59%,193,120,535,4.5,54,4,2,73,53,73%,477,9,52,5
2019,ARI,14,214.2,15.3,69%,238,170,817,4.8,80,8,2,68,50,74%,345,6.9,26,0
2020,ARI,15,192.2,12.8,54%,270,239,955,4,69,10,3,31,25,81%,137,5.5,18,0
2021,LV,12,102.5,8.5,35%,103,63,254,4,21,2,1,40,30,75%,291,9.7,31,1
2022,BAL,12,104.1,8.7,33%,135,109,482,4.4,40,4,1,26,17,65%,89,5.2,15,1
2022,CHI,17,6.2,0.4,8%,32,24,54,2.3,11,0,2,8,2,25%,8,4,6,0
2018,ARI,16,63.1,3.9,21%,83,60,208,3.5,29,2,1,23,20,87%,103,5.2,13,0
2019,ARI,13,82.8,6.4,20%,81,60,303,5,37,4,0,21,12,57%,105,8.8,31,1
2020,ARI,16,168,10.5,47%,164,97,448,4.6,32,1,2,67,53,79%,402,7.6,30,4
2021,ARI,12,143.3,11.9,53%,169,116,592,5.1,54,2,1,53,43,81%,311,7.2,36,0
2022,DEN,13,74.2,5.7,35%,92,68,245,3.6,28,2,0,24,16,67%,157,9.8,27,1
2018,BAL,11,89.8,8.2,36%,139,137,718,5.2,43,2,0,2,2,100%,20,10,13,0
2019,BAL,16,92.6,5.8,36%,141,133,711,5.3,63,2,2,8,7,88%,45,6.4,10,0
2020,BAL,16,128.2,8,34%,157,144,723,5,36,6,1,13,9,69%,129,14.3,34,0
2022,BAL,9,59.3,6.6,22%,89,87,433,5,37,3,1,2,0,0%,0,0,0,0
2020,KC,13,176,13.5,49%,235,181,803,4.4,31,4,0,54,36,67%,297,8.2,26,1
2021,KC,10,117.6,11.8,42%,142,119,517,4.3,17,4,2,23,19,83%,129,6.8,29,2
2022,KC,10,98.3,9.8,32%,94,71,302,4.3,52,3,0,23,17,74%,151,8.9,25,3
2017,LAC,16,106.9,6.7,19%,82,47,260,5.5,35,2,2,35,27,77%,279,10.3,38,3
2018,LAC,14,168.8,12.1,35%,159,106,554,5.2,41,3,1,53,39,74%,404,10.4,44,3
2019,LAC,16,309,19.3,57%,240,132,557,4.2,35,3,3,108,92,85%,993,10.8,84,8
2020,LAC,10,165.3,16.5,58%,181,116,530,4.6,27,1,1,65,54,83%,403,7.5,28,2
2021,LAC,16,343.8,21.5,61%,300,206,911,4.4,28,12,4,94,70,74%,647,9.2,40,8
2022,LAC,17,372.7,21.9,62%,331,204,915,4.5,72,13,5,127,107,84%,722,6.7,23,5
2022,JAX,17,205.1,12.1,60%,265,220,1125,5.1,62,5,5,45,35,78%,316,9,30,0
2021,CIN,14,49.8,3.6,9%,34,17,77,4.5,13,0,0,17,15,88%,151,10.1,24,2
2022,CIN,12,12.8,1.1,2%,4,0,0,0,0,0,0,4,3,75%,38,12.7,26,1
2020,TEN,5,16.1,3.2,6%,18,14,54,3.9,9,0,0,4,2,50%,27,13.5,24,1
2021,TEN,1,3.8,3.8,9%,4,2,7,3.5,5,0,0,2,2,100%,11,5.5,6,0
2022,CHI,6,10.7,1.8,11%,15,14,64,4.6,21,0,0,1,1,100%,33,33,33,0
2021,CLE,16,50.5,3.2,12%,28,7,24,3.4,12,0,4,21,18,86%,181,10.1,33,2
2022,CLE,8,2.4,0.3,6%,5,1,-4,-4,0,0,1,4,2,50%,8,4,5,0
2022,CLE,13,1.2,0.1,2%,8,8,12,1.5,9,0,0,0,0,0%,0,NaN,0,0
2017,HOU,10,57,5.7,19%,86,78,327,4.2,39,2,2,8,6,75%,83,13.8,34,0
2018,HOU,1,10.7,10.7,16%,9,7,-1,-0.1,2,0,1,2,2,100%,28,14,20,1
2020,TEN,6,17,2.8,5%,23,22,95,4.3,15,0,0,1,1,100%,5,5,5,1
2021,TEN,9,93.9,10.4,38%,144,133,566,4.3,35,3,2,11,9,82%,123,13.7,39,0
2022,CAR,17,131,7.7,35%,212,203,914,4.5,60,5,1,9,5,56%,26,5.2,23,0
2018,DEN,14,101.3,7.2,29%,150,130,521,4,24,5,1,20,14,70%,72,5.1,9,0
2019,DEN,16,142.2,8.9,50%,182,132,496,3.8,26,3,0,50,43,86%,256,6,19,1
2020,DEN,16,37.1,2.3,18%,48,35,170,4.9,23,0,0,13,12,92%,81,6.8,28,0
2021,HOU,15,34.6,2.3,19%,72,56,169,3,13,0,0,16,10,63%,77,7.7,12,0
2022,HOU,4,19,4.8,40%,49,41,117,2.9,11,0,1,8,6,75%,33,5.5,9,0
2021,LAR,10,0.5,0.1,3%,2,2,5,2.5,6,0,0,0,0,0%,0,0,0,0
2022,IND,6,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0,0
2021,PHI,16,123.4,7.7,27%,118,68,291,4.3,18,5,2,50,33,66%,253,7.7,19,1
2022,PHI,17,87.9,5.2,28%,82,53,240,4.5,13,4,0,29,23,79%,169,7.3,20,0
2019,MIA,7,31.4,4.5,12%,48,36,133,3.7,27,1,0,12,7,58%,51,7.3,20,0
2020,MIA,10,164.2,16.4,56%,189,142,584,4.1,26,3,2,47,41,87%,388,9.5,59,2
2021,MIA,17,173.6,10.2,50%,236,173,612,3.5,30,3,2,63,49,78%,234,4.8,24,4
2022,MIA,4,9.4,2.4,4%,16,10,26,2.6,10,0,0,6,4,67%,28,7,16,0
2020,WAS,14,202.2,14.4,37%,214,170,795,4.7,40,11,2,44,36,82%,247,6.9,40,0
2021,WAS,16,229.1,14.3,54%,310,258,1037,4,27,7,6,52,42,81%,294,7,73,3
2022,WAS,15,165.9,11.1,44%,207,149,546,3.7,20,3,2,58,46,79%,353,7.7,26,2
2022,GB,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,LAC,14,108.3,7.7,39%,221,184,641,3.5,27,0,6,37,33,89%,192,5.8,18,0
2016,LAC,13,250.6,19.3,62%,311,254,997,3.9,48,10,2,57,41,72%,419,10.2,35,2
2017,LAC,16,288.1,18,70%,367,284,1105,3.9,87,8,1,83,58,70%,476,8.2,49,4
2018,LAC,12,275.5,23,55%,241,175,885,5.1,34,10,1,66,50,76%,490,9.8,66,4
