SEASON,TEAM,GP,PTS,PPG,SNP%,TGT,REC,CTCH%,YDS,Y/C,LNG,TD,ATT,YDS,Y/A,LNG,TD,FUM
2014,GB,16,100.6,6.3,70%,66,38,58%,446,11.7,45,3,0,0,0,0,0,0
2015,GB,13,106.3,8.2,66%,94,50,53%,483,9.7,40,1,0,0,0,0,0,0
2016,GB,16,246.7,15.4,84%,121,75,62%,997,13.3,66,12,0,0,0,0,0,2
2017,GB,14,222.5,15.9,74%,117,74,63%,885,12,55,10,0,0,0,0,0,0
2018,GB,15,329.6,22,89%,169,111,66%,1386,12.5,57,13,0,0,0,0,0,0
2019,GB,12,212.7,17.7,63%,127,83,65%,997,12,58,5,0,0,0,0,0,2
2020,GB,14,358.4,25.6,75%,148,115,78%,1374,11.9,56,18,0,0,0,0,0,1
2021,GB,16,344.3,21.5,79%,169,123,73%,1553,12.6,59,11,0,0,0,0,0,0
2022,LV,17,335.5,19.7,95%,180,100,56%,1516,15.2,60,14,3,-1,-0.3,4,0,1
2015,PHI,13,55.3,4.3,58%,44,23,52%,283,12.3,53,1,0,0,0,0,0,1
2016,PHI,15,87.9,5.9,78%,69,36,52%,365,10.1,40,2,5,14,2.8,5,0,1
2017,PHI,16,193.5,12.1,72%,95,62,65%,768,12.4,72,8,1,7,7,7,1,0
2018,PHI,16,165.4,10.3,90%,97,64,66%,736,11.5,83,4,3,32,10.7,16,0,1
2019,PHI,11,94,8.5,60%,69,39,57%,363,9.3,43,3,2,7,3.5,16,0,2
2020,LV,16,185.6,11.6,68%,82,48,59%,896,18.7,85,8,0,0,0,0,0,0
2021,NE,15,103.4,6.9,64%,64,37,58%,473,12.8,44,3,3,11,3.7,6,0,0
2022,NE,16,75.2,4.7,45%,53,31,58%,362,11.7,44,2,0,0,0,0,0,2
2017,DET,13,25.7,2,1%,2,2,100%,18,9,12,0,2,9,4.5,5,0,3
2018,DET,6,13.7,2.3,0%,0,0,0%,0,0,0,0,1,17,17,17,0,1
2019,DET,13,22.7,1.7,1%,2,1,50%,-2,-2,0,0,1,9,9,9,0,1
2020,DET,14,23.2,1.7,19%,20,13,65%,89,6.8,20,0,6,33,5.5,11,0,2
2021,JAX,10,70,7,41%,39,24,62%,229,9.5,29,1,7,111,15.9,66,1,1
2022,JAX,15,70.3,4.7,13%,30,23,77%,187,8.1,24,3,12,86,7.2,30,0,0
2020,SF,12,184.5,15.4,67%,96,60,63%,748,12.5,49,5,6,77,12.8,38,2,0
2021,SF,17,170.3,10,83%,84,56,67%,826,14.8,43,5,5,17,3.4,8,0,2
2022,SF,17,227.8,13.4,91%,114,78,68%,1015,13,54,8,2,23,11.5,16,0,1
2022,DET,4,1.7,0.4,3%,1,1,100%,7,7,7,0,0,0,NaN,0,0,0
2022,ATL,1,0,0,5%,1,0,0%,0,NaN,0,0,0,0,NaN,0,0,0
2013,LAC,15,219.6,14.6,85%,104,71,68%,1046,14.7,43,8,0,0,0,0,0,2
2014,LAC,14,175.3,12.5,78%,121,77,64%,783,10.2,35,4,0,0,0,0,0,2
2015,LAC,8,161.5,20.2,90%,89,67,75%,725,10.8,38,4,0,0,0,0,0,1
2016,LAC,1,12.3,12.3,3%,7,6,86%,63,10.5,15,0,0,0,0,0,0,0
